,date,home,home_score,away,away_score,winner
8918,2017-01-11,UNC Asheville,89,Longwood,68,UNC Asheville
8919,2017-01-11,Wichita St.,87,Loyola (IL),75,Wichita St.
8920,2017-01-11,Boston U.,76,American University,66,Boston U.
8921,2017-01-11,Ole Miss,47,Georgia Southern,69,Georgia Southern
8922,2017-01-11,High Point,58,Liberty,62,Liberty
8923,2017-01-11,Davidson,54,Fordham,60,Fordham
8924,2017-01-11,Army,76,Colgate,79,Colgate
8925,2017-01-11,Bucknell,71,Lehigh,82,Lehigh
8926,2017-01-11,Chattanooga,83,Citadel,73,Chattanooga
8927,2017-01-11,Duquesne,73,Saint Louis,66,Duquesne
8928,2017-01-11,Marquette,89,Seton Hall,86,Marquette
8929,2017-01-11,Albany,67,New Hampshire,75,New Hampshire
8930,2017-01-11,Michigan State,65,Minnesota,47,Michigan State
8931,2017-01-11,Richmond,78,St. Bonaventure,61,Richmond
8932,2017-01-11,Maine,73,Mass.-Lowell,71,Maine
8933,2017-01-11,Holy Cross,71,Louisiana-Lafayette,54,Holy Cross
8934,2017-01-11,Charleston,70,Radford,64,Charleston
8935,2017-01-11,Maryland-Eastern Shore,62,Navy,75,Navy
8936,2017-01-11,Samford,65,Mercer,68,Mercer
8937,2017-01-11,North Texas,61,TCU,64,TCU
8938,2017-01-11,Norfolk St.,80,Savannah St.,76,Norfolk St.
8939,2017-01-11,Tulsa,81,Memphis,71,Tulsa
8940,2017-01-11,Lamar,87,Incarnate Word,72,Lamar
8941,2017-01-11,Wake Forest,87,North Carolina State,93,North Carolina State
8942,2017-01-11,South Dakota,69,North Dakota,70,North Dakota
8943,2017-01-11,Drake,87,Indiana State,70,Drake
8944,2017-01-11,Missouri,55,Evansville,51,Missouri
8945,2017-01-11,Southern Ill.,53,Illinois-Chicago,60,Illinois-Chicago
8946,2017-01-11,Stephen F. Austin,79,A&M-Corpus Chris,46,Stephen F. Austin
8947,2017-01-11,North Texas,92,LSU,62,North Texas
8948,2017-01-11,Jackson St.,50,Alcorn St.,63,Alcorn St.
8949,2017-01-11,Bradley,72,UNI,61,Bradley
8950,2017-01-11,Creighton,75,Butler,64,Creighton
8951,2017-01-11,Air Force,81,Fresno St.,72,Air Force
8952,2017-01-11,Denver,84,Western Ill.,70,Denver
8953,2017-01-11,Oklahoma State,86,Northern Iowa,96,Northern Iowa
8954,2017-01-11,UConn,73,Temple,59,UConn
8955,2017-01-11,Boston College,74,North Carolina State,66,Boston College
8956,2017-01-11,Wyoming,95,Utah Valley,87,Wyoming
8957,2017-01-11,Illinois-Chicago,85,Michigan State,69,Illinois-Chicago
8958,2017-01-11,Long Beach St.,82,Cal St. Northridge,89,Cal St. Northridge
8959,2017-01-12,Robert Morris,57,St. Francis (PA),77,St. Francis (PA)
8960,2017-01-12,Northeastern,92,Drexel,75,Northeastern
8961,2017-01-12,VMI,79,Western Caro.,78,VMI
8962,2017-01-12,East Tenn. St.,79,UNC Greensboro,83,UNC Greensboro
8963,2017-01-12,UNC Wilmington,101,William & Mary,77,UNC Wilmington
8964,2017-01-12,St. Francis (NY),75,Sacred Heart,87,Sacred Heart
8965,2017-01-12,James Madison,51,Charleston,53,Charleston
8966,2017-01-12,Charlotte,73,Louisiana Tech,79,Louisiana Tech
8967,2017-01-12,Mt. St. Mary's,77,Fairleigh Dickinson,70,Mt. St. Mary's
8968,2017-01-12,Kennesaw St.,75,FGCU,78,FGCU
8969,2017-01-12,Elon,96,Hofstra,80,Elon
8970,2017-01-12,Old Dominion,54,Southern Miss,50,Old Dominion
8971,2017-01-12,Towson,83,Delaware State,56,Towson
8972,2017-01-12,Georgia Southern,75,Clemson,63,Georgia Southern
8973,2017-01-12,Wisconsin,89,Ohio,66,Wisconsin
8974,2017-01-12,Morehead St.,78,Belmont,84,Belmont
8975,2017-01-12,S.C. Upstate,65,Florida,73,Florida
8976,2017-01-12,Eastern Ky.,49,East Tennessee State,63,East Tennessee State
8977,2017-01-12,Long Island,60,Central Conn. St.,49,Long Island
8978,2017-01-12,Miami (FL),62,Notre Dame,67,Notre Dame
8979,2017-01-12,NJIT,81,Jacksonville State,82,Jacksonville State
8980,2017-01-12,Rhode Island,75,La Salle,87,La Salle
8981,2017-01-12,Bryant University,77,Wagner,66,Bryant University
8982,2017-01-12,Lipscomb,94,Stetson,68,Lipscomb
8983,2017-01-12,Youngstown St.,62,Valparaiso,78,Valparaiso
8984,2017-01-12,Cleveland St.,54,Ill.-Chicago,59,Ill.-Chicago
8985,2017-01-12,Green Bay,78,Wright St.,61,Green Bay
8986,2017-01-12,Eastern Ill.,72,Murray St.,83,Murray St.
8987,2017-01-12,Sam Houston State,78,Central Ark.,89,Central Ark.
8988,2017-01-12,Milwaukee,68,Northern Ky.,58,Milwaukee
8989,2017-01-12,Oral Roberts,94,South Dakota,88,Oral Roberts
8990,2017-01-12,UAB,72,Western Ky.,54,UAB
8991,2017-01-12,UTSA,68,Fla. Atlantic,63,UTSA
8992,2017-01-12,Middle Tenn.,69,Marshall,57,Middle Tenn.
8993,2017-01-12,Siena,81,Quinnipiac,74,Siena
8994,2017-01-12,UTRGV,81,Cal State Bakersfield,88,Cal State Bakersfield
8995,2017-01-12,Abilene Christian,50,Southeastern La.,56,Southeastern La.
8996,2017-01-12,Northwestern State,86,Nicholls St.,81,Northwestern State
8997,2017-01-12,Utah Valley,83,Sacramento St.,88,Sacramento St.
8998,2017-01-12,New Orleans,68,Sam Houston State,70,Sam Houston State
8999,2017-01-12,Gonzaga,93,Loyola Marymount,55,Gonzaga
9000,2017-01-12,Utah Valley,61,Chicago St.,70,Chicago St.
9001,2017-01-12,Montana State,85,North Dakota,90,North Dakota
9002,2017-01-12,Montana State,89,Northern Colo.,68,Montana State
9003,2017-01-12,New Mexico State,81,Grand Canyon,69,New Mexico State
9004,2017-01-12,Rutgers,60,Northwestern State,69,Northwestern State
9005,2017-01-12,Utah Valley,86,California Baptist,64,Utah Valley
9006,2017-01-12,California Baptist,69,Washington State,59,California Baptist
9007,2017-01-12,BYU,85,San Francisco,75,BYU
9008,2017-01-12,SIU Edwardsville,81,Austin Peay,83,Austin Peay
9009,2017-01-12,Cincinnati,66,SMU,64,Cincinnati
9010,2017-01-12,Weber St.,91,Idaho,66,Weber St.
9011,2017-01-12,UTEP,88,FIU,87,UTEP
9012,2017-01-12,Arizona,91,Arizona,75,Arizona
9013,2017-01-12,Northern Iowa,83,Purdue Fort Wayne,78,Northern Iowa
9014,2017-01-12,Idaho,85,Eastern Wash.,92,Eastern Wash.
9015,2017-01-12,UC Santa Barbara,62,UC Irvine,66,UC Irvine
9016,2017-01-12,San Diego,57,Santa Clara,59,Santa Clara
9017,2017-01-12,Seattle,68,UMKC,84,UMKC
9018,2017-01-12,Pacific,79,Pepperdine,74,Pacific
9019,2017-01-12,Cal Poly,74,Cal St. Fullerton,87,Cal St. Fullerton
9020,2017-01-12,Portland,33,St. Mary's (CA),74,St. Mary's (CA)
9021,2017-01-12,UC Riverside,61,UC Davis,55,UC Riverside
9022,2017-01-12,Colorado,89,UCLA,104,UCLA
9023,2017-01-12,Stanford,84,Washington State,54,Stanford
9024,2017-01-13,Central Mich.,96,Toledo,88,Central Mich.
9025,2017-01-13,Vermont,81,UMBC,72,Vermont
9026,2017-01-13,Oakland,88,Detroit Mercy,93,Detroit Mercy
9027,2017-01-13,Penn State,60,Yale,68,Yale
9028,2017-01-13,Princeton,97,Brown,66,Princeton
9029,2017-01-13,Manhattan,76,Rider,73,Manhattan
9030,2017-01-14,Hawaii,114,Long Beach St.,107,Hawaii
9031,2017-01-14,Eastern Ill.,84,Austin Peay,92,Austin Peay
9032,2017-01-14,Louisville,78,Duke,69,Louisville
9033,2017-01-14,Florida,80,Georgia Southern,76,Florida
9034,2017-01-14,Providence,65,Seton Hall,61,Providence
9035,2017-01-14,Duquesne,57,Dayton,76,Dayton
9036,2017-01-14,Penn St.,52,Minnesota,50,Penn St.
9037,2017-01-14,Pittsburgh,46,Miami (FL),72,Miami (FL)
9038,2017-01-14,Bowling Green,52,Northern Ill.,69,Northern Ill.
9039,2017-01-14,Georgetown,72,UConn,69,Georgetown
9040,2017-01-14,Clemson,73,Virginia Tech,77,Virginia Tech
9041,2017-01-14,St. John's (NY),57,Villanova,70,Villanova
9042,2017-01-14,Saint Joseph's (PA),66,Richmond,70,Richmond
9043,2017-01-14,Indiana State,81,Bradley,71,Indiana State
9044,2017-01-14,Creighton,101,Truman,69,Creighton
9045,2017-01-14,UAB,94,Marshall,78,UAB
9046,2017-01-14,Mississippi St.,67,North Texas,59,Mississippi St.
9047,2017-01-14,VMI,82,UNC Greensboro,91,UNC Greensboro
9048,2017-01-14,Citadel,90,Samford,98,Samford
9049,2017-01-14,New Hampshire,73,Binghamton,66,New Hampshire
9050,2017-01-14,South Dakota,66,IPFW,63,South Dakota
9051,2017-01-14,Buffalo,77,Ball St.,92,Ball St.
9052,2017-01-14,Virginia Tech,71,Notre Dame,76,Notre Dame
9053,2017-01-14,Campbell,63,Winthrop,72,Winthrop
9054,2017-01-14,Colgate,69,Bucknell,83,Bucknell
9055,2017-01-14,Mass.-Lowell,71,Hartford,55,Mass.-Lowell
9056,2017-01-14,Davidson,69,VCU,63,Davidson
9057,2017-01-14,Mercer,68,Chattanooga,70,Chattanooga
9058,2017-01-14,Towson,74,Northeastern,67,Towson
9059,2017-01-14,Butler,83,Xavier,78,Butler
9060,2017-01-14,Marquette,83,DePaul,58,Marquette
9061,2017-01-14,Canisius,91,Marist,58,Canisius
9062,2017-01-14,Longwood,79,Gardner-Webb,85,Gardner-Webb
9063,2017-01-14,Michigan State,91,Nebraska-Omaha,85,Michigan State
9064,2017-01-14,Lehigh,68,Holy Cross,51,Lehigh
9065,2017-01-14,Quinnipiac,97,Iona,91,Quinnipiac
9066,2017-01-14,North Carolina State,96,Florida,83,North Carolina State
9067,2017-01-14,Evansville,61,Southern Ill.,73,Southern Ill.
9068,2017-01-14,Maine,54,Stony Brook,74,Stony Brook
9069,2017-01-14,Louisiana-Lafayette,51,Navy,88,Navy
9070,2017-01-14,S.C. Upstate,73,Jacksonville State,66,S.C. Upstate
9071,2017-01-14,Western Mich.,92,Kent St.,88,Western Mich.
9072,2017-01-14,Colorado,71,New Mexico State,84,New Mexico State
9073,2017-01-14,Kansas,87,Oklahoma State,80,Kansas
9074,2017-01-14,UNC Wilmington,84,Hofstra,76,UNC Wilmington
9075,2017-01-14,American University,49,Army,53,Army
9076,2017-01-14,George Mason,56,Saint Louis,63,Saint Louis
9077,2017-01-14,Northern Ariz.,62,Sacramento St.,74,Sacramento St.
9078,2017-01-14,Milwaukee,67,Wright St.,70,Wright St.
9079,2017-01-14,Rice,101,North Texas,79,Rice
9080,2017-01-14,Long Island,63,St. Francis (NY),58,Long Island
9081,2017-01-14,LSU,66,Alabama State,81,Alabama State
9082,2017-01-14,Miami (OH),70,Akron,74,Akron
9083,2017-01-14,Central Conn. St.,47,Fairleigh Dickinson,59,Fairleigh Dickinson
9084,2017-01-14,Cleveland St.,67,Valparaiso,78,Valparaiso
9085,2017-01-14,Ohio,49,Eastern Mich.,53,Eastern Mich.
9086,2017-01-14,Bryant University,110,Sacred Heart,112,Sacred Heart
9087,2017-01-14,Coppin St.,75,N.C. A&T,73,Coppin St.
9088,2017-01-14,Air Force,85,San Jose St.,89,San Jose St.
9089,2017-01-14,James Madison,60,Elon,59,James Madison
9090,2017-01-14,Charleston,77,William & Mary,67,Charleston
9091,2017-01-14,California Baptist,58,Washington State,54,California Baptist
9092,2017-01-14,South Carolina,78,Bethune-Cookman,74,South Carolina
9093,2017-01-14,Kentucky,92,Auburn,72,Kentucky
9094,2017-01-14,East Tenn. St.,75,Western Caro.,52,East Tenn. St.
9095,2017-01-14,Syracuse,76,Boston College,53,Syracuse
9096,2017-01-14,Montana State,68,Northern Colo.,53,Montana State
9097,2017-01-14,Old Dominion,63,Louisiana Tech,75,Louisiana Tech
9098,2017-01-14,Mt. St. Mary's,78,St. Francis (PA),72,Mt. St. Mary's
9099,2017-01-14,Oral Roberts,85,IUPUI,91,IUPUI
9100,2017-01-14,Wagner,53,Robert Morris,50,Wagner
9101,2017-01-14,Temple,68,Tulsa,70,Tulsa
9102,2017-01-14,Incarnate Word,82,Sam Houston State,77,Incarnate Word
9103,2017-01-14,Md.-East. Shore,66,Howard,74,Howard
9104,2017-01-14,North Texas,72,Virginia Tech,74,Virginia Tech
9105,2017-01-14,Cornell,75,Columbia,79,Columbia
9106,2017-01-14,Delaware State,77,Hampton,85,Hampton
9107,2017-01-14,UCF,77,Sam Houston State,70,UCF
9108,2017-01-14,NJIT,84,Florida,78,NJIT
9109,2017-01-14,Drexel,76,Delaware State,60,Drexel
9110,2017-01-14,UTSA,57,FIU,55,UTSA
9111,2017-01-14,South Ala.,72,North Texas,67,South Ala.
9112,2017-01-14,St. Bonaventure,73,Fordham,53,St. Bonaventure
9113,2017-01-14,Kennesaw St.,84,Stetson,65,Kennesaw St.
9114,2017-01-14,Northwestern State,68,Sam Houston State,77,Sam Houston State
9115,2017-01-14,Radford,64,Liberty,71,Liberty
9116,2017-01-14,Kansas,68,Baylor,77,Baylor
9117,2017-01-14,Coastal Caro.,85,Appalachian St.,73,Coastal Caro.
9118,2017-01-14,La.-Monroe,65,Georgia Southern,73,Georgia Southern
9119,2017-01-14,Lipscomb,80,FGCU,84,FGCU
9120,2017-01-14,Abilene Christian,67,Lamar,64,Abilene Christian
9121,2017-01-14,Troy,93,North Texas,71,Troy
9122,2017-01-14,TCU,84,Northern Iowa,77,TCU
9123,2017-01-14,Charleston,67,UNC Asheville,76,UNC Asheville
9124,2017-01-14,Wyoming,74,Nevada,89,Nevada
9125,2017-01-14,Memphis,62,South Fla.,56,Memphis
9126,2017-01-14,Middle Tenn.,91,Western Ky.,76,Middle Tenn.
9127,2017-01-14,Denver,79,North Dakota,55,Denver
9128,2017-01-14,Alcorn St.,77,Mississippi Val.,84,Mississippi Val.
9129,2017-01-14,Illinois-Chicago,56,Maryland-Eastern Shore,62,Maryland-Eastern Shore
9130,2017-01-14,Utah Valley,82,UCLA,83,UCLA
9131,2017-01-14,Central Arkansas,92,Missouri,73,Central Arkansas
9132,2017-01-14,Savannah St.,93,Florida,88,Savannah St.
9133,2017-01-14,Southern U.,76,Ark.-Pine Bluff,75,Southern U.
9134,2017-01-14,South Carolina,67,Ole Miss,56,South Carolina
9135,2017-01-14,Prairie View A&M,63,Jackson St.,56,Prairie View A&M
9136,2017-01-14,Norfolk St.,57,N.C. Central,72,N.C. Central
9137,2017-01-14,Charlotte,82,Southern Miss,66,Charlotte
9138,2017-01-14,UT Martin,79,Southeast Mo. St.,69,UT Martin
9139,2017-01-14,Wofford,67,Furman,58,Wofford
9140,2017-01-14,Stephen F. Austin,80,Nicholls St.,60,Stephen F. Austin
9141,2017-01-14,Youngstown St.,89,Ill.-Chicago,92,Ill.-Chicago
9142,2017-01-14,UALR,72,Central Arkansas,77,Central Arkansas
9143,2017-01-14,Eastern Ky.,59,Belmont,72,Belmont
9144,2017-01-14,Niagara,83,Monmouth,90,Monmouth
9145,2017-01-14,Fresno St.,89,Boise St.,80,Fresno St.
9146,2017-01-14,High Point,77,Presbyterian,44,High Point
9147,2017-01-14,Alabama State,55,Alabama State,57,Alabama State
9148,2017-01-14,Morehead St.,87,East Tennessee State,85,Morehead St.
9149,2017-01-14,Princeton,66,Yale,58,Princeton
9150,2017-01-14,Stanford,76,Washington State,69,Stanford
9151,2017-01-14,UC Irvine,87,Cal St. Fullerton,67,UC Irvine
9152,2017-01-14,Penn State,70,Brown,82,Brown
9153,2017-01-14,Illinois-Chicago,76,Wichita St.,62,Illinois-Chicago
9154,2017-01-14,UTRGV,66,Grand Canyon,79,Grand Canyon
9155,2017-01-14,Neb. Omaha,86,Western Ill.,72,Neb. Omaha
9156,2017-01-14,Pepperdine,61,Santa Clara,75,Santa Clara
9157,2017-01-14,A&M-Corpus Chris,88,Central Ark.,81,A&M-Corpus Chris
9158,2017-01-14,SIU Edwardsville,59,Murray St.,67,Murray St.
9159,2017-01-14,Louisiana Tech,76,Ga. Southern,81,Ga. Southern
9160,2017-01-14,Oklahoma State,84,North Texas,75,Oklahoma State
9161,2017-01-14,Utah Valley,77,Portland,88,Portland
9162,2017-01-14,East Tennessee State,59,Jacksonville State,74,Jacksonville State
9163,2017-01-14,North Texas,76,Grambling State,55,North Texas
9164,2017-01-14,Vanderbilt,75,East Tennessee State,87,East Tennessee State
9165,2017-01-14,New Mexico State,63,Cal State Bakersfield,58,New Mexico State
9166,2017-01-14,Weber St.,70,Eastern Wash.,67,Weber St.
9167,2017-01-14,Utah Valley,86,UMKC,76,Utah Valley
9168,2017-01-14,Montana State,76,North Dakota,70,Montana State
9169,2017-01-14,UTEP,66,Fla. Atlantic,65,UTEP
9170,2017-01-14,Idaho,62,Idaho,77,Idaho
9171,2017-01-14,Seattle,65,Chicago St.,50,Seattle
9172,2017-01-14,Portland,78,Loyola Marymount,79,Loyola Marymount
9173,2017-01-14,Gonzaga,79,St. Mary's (CA),56,Gonzaga
9174,2017-01-14,San Diego,74,Utah Valley,55,San Diego
9175,2017-01-14,San Diego,88,BYU,75,San Diego
9176,2017-01-14,UC Santa Barbara,58,Cal Poly,53,UC Santa Barbara
9177,2017-01-14,Oregon,85,Oregon,43,Oregon
9178,2017-01-14,Cal St. Northridge,68,UC Davis,71,UC Davis
9179,2017-01-14,San Francisco,72,Pacific,51,San Francisco
9180,2017-01-15,Indiana State,76,Rutgers,57,Indiana State
9181,2017-01-15,Ohio,72,Michigan State,67,Ohio
9182,2017-01-15,Fairfield,54,Siena,63,Siena
9183,2017-01-15,Rider,65,St. Peter's,71,St. Peter's
9184,2017-01-15,Rhode Island,79,Massachusetts,77,Rhode Island
9185,2017-01-15,Southeastern La.,79,McNeese St.,75,Southeastern La.
9186,2017-01-15,East Carolina,46,Cincinnati,55,Cincinnati
9187,2017-01-15,Loyola (IL),77,Missouri,71,Loyola (IL)
9188,2017-01-15,UNI,79,Drake,60,UNI
9189,2017-01-15,La Salle,79,Washington State,69,La Salle
9190,2017-01-15,Tulane,64,SMU,80,SMU
9191,2017-01-15,North Carolina State,76,Georgia Southern,86,Georgia Southern
9192,2017-01-15,Northwestern State,89,Northern Iowa,54,Northwestern State
9193,2017-01-15,Colorado,68,California Baptist,71,California Baptist
9194,2017-01-16,Butler,88,Marquette,80,Butler
9195,2017-01-16,Hartford,54,Maine,44,Hartford
9196,2017-01-16,UMBC,50,Albany,77,Albany
9197,2017-01-16,New Hampshire,59,Vermont,71,Vermont
9198,2017-01-16,Mass.-Lowell,75,Stony Brook,86,Stony Brook
9199,2017-01-16,Xavier,67,Creighton,72,Creighton
9200,2017-01-16,South Ala.,83,North Texas,89,North Texas
9201,2017-01-16,Howard,72,Coppin St.,81,Coppin St.
9202,2017-01-16,St. John's (NY),78,DePaul,68,St. John's (NY)
9203,2017-01-16,Northern Ariz.,83,Portland,76,Northern Ariz.
9204,2017-01-16,Florida,76,Bethune-Cookman,82,Bethune-Cookman
9205,2017-01-16,Villanova,76,Seton Hall,46,Villanova
9206,2017-01-16,Canisius,72,Monmouth,76,Monmouth
9207,2017-01-16,Detroit Mercy,87,Youngstown St.,71,Detroit Mercy
9208,2017-01-16,Bryant University,65,Harvard,70,Harvard
9209,2017-01-16,Southern U.,87,Mississippi Val.,81,Southern U.
9210,2017-01-16,Niagara,87,Marist,93,Marist
9211,2017-01-16,North Carolina State,85,Syracuse,68,North Carolina State
9212,2017-01-16,Maryland-Eastern Shore,77,Boston U.,69,Maryland-Eastern Shore
9213,2017-01-16,Oakland,65,Cleveland St.,76,Cleveland St.
9214,2017-01-16,Hampton,51,N.C. Central,64,N.C. Central
9215,2017-01-16,South Carolina,82,Savannah St.,86,Savannah St.
9216,2017-01-16,Morgan St.,82,N.C. A&T,53,Morgan St.
9217,2017-01-16,Delaware State,70,Norfolk St.,75,Norfolk St.
9218,2017-01-16,Louisiana Tech,86,Georgia Southern,101,Georgia Southern
9219,2017-01-16,Valparaiso,80,Green Bay,56,Valparaiso
9220,2017-01-16,Alcorn St.,82,Ark.-Pine Bluff,64,Alcorn St.
9221,2017-01-16,Troy,71,North Texas,75,North Texas
9222,2017-01-16,La.-Monroe,60,Ga. Southern,62,Ga. Southern
9223,2017-01-16,Prairie View A&M,94,Grambling State,82,Prairie View A&M
9224,2017-01-16,Northern Iowa,72,Kansas,76,Kansas
9225,2017-01-16,Georgetown,56,Providence,74,Providence
9226,2017-01-16,North Texas,67,Jackson St.,44,North Texas
9227,2017-01-17,Ball St.,98,Central Mich.,83,Ball St.
9228,2017-01-17,UCF,86,South Fla.,64,UCF
9229,2017-01-17,Toledo,85,Bowling Green,73,Toledo
9230,2017-01-17,Mississippi St.,81,Kentucky,88,Kentucky
9231,2017-01-17,Kent St.,69,Buffalo,82,Buffalo
9232,2017-01-17,North Texas,60,Central Arkansas,62,Central Arkansas
9233,2017-01-17,Fairfield,55,St. Peter's,69,St. Peter's
9234,2017-01-17,North Carolina State,79,Pittsburgh,74,North Carolina State
9235,2017-01-17,Akron,83,Ohio,68,Akron
9236,2017-01-17,Eastern Mich.,86,Western Mich.,80,Eastern Mich.
9237,2017-01-17,Siena,78,Rider,68,Siena
9238,2017-01-17,Baylor,74,North Texas,64,Baylor
9239,2017-01-17,Manhattan,67,Iona,82,Iona
9240,2017-01-17,Purdue Fort Wayne,91,Illinois-Chicago,68,Purdue Fort Wayne
9241,2017-01-17,Northern Ill.,62,Miami (OH),58,Northern Ill.
9242,2017-01-17,Ill.-Chicago,71,Milwaukee,57,Ill.-Chicago
9243,2017-01-17,Wisconsin,68,Michigan State,64,Wisconsin
9244,2017-01-17,Georgia Southern,76,Vanderbilt,68,Georgia Southern
9245,2017-01-17,Ole Miss,80,East Tennessee State,69,Ole Miss
9246,2017-01-17,Evansville,65,Wichita St.,82,Wichita St.
9247,2017-01-17,Grand Canyon,90,San Diego,58,Grand Canyon
9248,2017-01-17,Saint Louis,52,St. Bonaventure,71,St. Bonaventure
9249,2017-01-17,UNLV,51,San Diego,64,San Diego
9250,2017-01-17,Boise St.,70,New Mexico State,81,New Mexico State
9251,2017-01-18,Hawaii,80,Cal St. Northridge,77,Hawaii
9252,2017-01-18,South Carolina,57,Florida,53,South Carolina
9253,2017-01-18,Fordham,69,VCU,67,Fordham
9254,2017-01-18,Navy,75,Lehigh,72,Navy
9255,2017-01-18,Boston U.,58,Colgate,67,Colgate
9256,2017-01-18,Cincinnati,81,Temple,74,Cincinnati
9257,2017-01-18,Florida,83,Notre Dame,80,Florida
9258,2017-01-18,Penn St.,75,Indiana State,78,Indiana State
9259,2017-01-18,Virginia Tech,87,Oklahoma State,89,Oklahoma State
9260,2017-01-18,Bucknell,76,Maryland-Eastern Shore,63,Bucknell
9261,2017-01-18,Army,76,Holy Cross,85,Holy Cross
9262,2017-01-18,Massachusetts,62,Saint Joseph's (PA),57,Massachusetts
9263,2017-01-18,Washington State,65,Duquesne,63,Washington State
9264,2017-01-18,Alabama State,68,Missouri,56,Alabama State
9265,2017-01-18,IUPUI,85,South Dakota,83,IUPUI
9266,2017-01-18,Indiana State,68,Missouri,73,Missouri
9267,2017-01-18,Tulsa,89,Tulane,82,Tulsa
9268,2017-01-18,American University,71,Louisiana-Lafayette,57,American University
9269,2017-01-18,North Texas,75,TCU,69,North Texas
9270,2017-01-18,Boston College,54,Virginia Tech,71,Virginia Tech
9271,2017-01-18,UNI,72,Loyola (IL),69,UNI
9272,2017-01-18,Oral Roberts,90,South Dakota,80,Oral Roberts
9273,2017-01-18,Drake,88,Southern Ill.,84,Drake
9274,2017-01-18,McNeese St.,82,Central Ark.,72,McNeese St.
9275,2017-01-18,Neb. Omaha,97,Denver,88,Neb. Omaha
9276,2017-01-18,Wake Forest,96,Miami (FL),79,Wake Forest
9277,2017-01-18,Chicago St.,77,Roosevelt,57,Chicago St.
9278,2017-01-18,Auburn,78,LSU,74,Auburn
9279,2017-01-18,Oklahoma State,88,Kansas,96,Kansas
9280,2017-01-18,Washington State,47,Utah Valley,88,Utah Valley
9281,2017-01-18,Virginia Tech,62,Georgia Southern,61,Virginia Tech
9282,2017-01-18,Bradley,49,Illinois-Chicago,69,Illinois-Chicago
9283,2017-01-18,Nebraska-Omaha,66,Ohio,67,Ohio
9284,2017-01-18,Cal St. Fullerton,63,UC Riverside,71,UC Riverside
9285,2017-01-18,Nevada,83,Air Force,76,Nevada
9286,2017-01-18,San Jose St.,70,Wyoming,80,Wyoming
9287,2017-01-18,Cal Poly,48,UC Irvine,70,UC Irvine
9288,2017-01-18,Fresno St.,78,Colorado,57,Fresno St.
9289,2017-01-18,Washington State,85,Colorado,83,Washington State
9290,2017-01-19,Robert Morris,74,Central Conn. St.,67,Robert Morris
9291,2017-01-19,Elon,93,Drexel,73,Elon
9292,2017-01-19,FIU,52,Middle Tenn.,65,Middle Tenn.
9293,2017-01-19,Jacksonville State,95,Lipscomb,112,Lipscomb
9294,2017-01-19,Liberty,65,Gardner-Webb,62,Liberty
9295,2017-01-19,Florida,86,Kennesaw St.,84,Florida
9296,2017-01-19,Stetson,82,NJIT,76,Stetson
9297,2017-01-19,Fairleigh Dickinson,57,St. Francis (NY),40,Fairleigh Dickinson
9298,2017-01-19,Hofstra,80,Towson,86,Towson
9299,2017-01-19,SMU,69,UConn,49,SMU
9300,2017-01-19,La Salle,91,Davidson,83,La Salle
9301,2017-01-19,Furman,75,East Tenn. St.,62,Furman
9302,2017-01-19,William & Mary,73,James Madison,72,William & Mary
9303,2017-01-19,Albany,84,Binghamton,65,Albany
9304,2017-01-19,Long Island,76,Wagner,69,Long Island
9305,2017-01-19,Campbell,78,High Point,83,High Point
9306,2017-01-19,Longwood,60,Radford,72,Radford
9307,2017-01-19,Vermont,81,Mass.-Lowell,67,Vermont
9308,2017-01-19,Presbyterian,52,Charleston,73,Charleston
9309,2017-01-19,Sacred Heart,75,Mt. St. Mary's,86,Mt. St. Mary's
9310,2017-01-19,Wofford,88,VMI,70,Wofford
9311,2017-01-19,FGCU,60,S.C. Upstate,62,S.C. Upstate
9312,2017-01-19,UNC Greensboro,68,Mercer,66,UNC Greensboro
9313,2017-01-19,St. Francis (PA),75,Bryant University,61,St. Francis (PA)
9314,2017-01-19,Maine,63,New Hampshire,74,New Hampshire
9315,2017-01-19,Delaware State,69,Northeastern,62,Delaware State
9316,2017-01-19,Dayton,75,Richmond,59,Dayton
9317,2017-01-19,Stony Brook,80,Hartford,64,Stony Brook
9318,2017-01-19,Western Caro.,100,Citadel,95,Western Caro.
9319,2017-01-19,Northern Iowa,76,Maryland-Eastern Shore,84,Maryland-Eastern Shore
9320,2017-01-19,Charleston,59,UNC Wilmington,65,UNC Wilmington
9321,2017-01-19,Louisiana Tech,74,Rice,64,Louisiana Tech
9322,2017-01-19,Southeast Mo. St.,79,SIU Edwardsville,76,Southeast Mo. St.
9323,2017-01-19,Sam Houston State,87,Lamar,65,Sam Houston State
9324,2017-01-19,Fla. Atlantic,78,UAB,80,UAB
9325,2017-01-19,Murray St.,86,Eastern Ky.,79,Murray St.
9326,2017-01-19,East Tennessee State,74,East Tennessee State,80,East Tennessee State
9327,2017-01-19,New Orleans,72,Sam Houston State,64,New Orleans
9328,2017-01-19,North Dakota,83,Weber St.,77,North Dakota
9329,2017-01-19,Southern Miss,75,North Texas,65,Southern Miss
9330,2017-01-19,Belmont,77,Jacksonville State,60,Belmont
9331,2017-01-19,North Dakota,89,IPFW,83,North Dakota
9332,2017-01-19,UT Martin,82,Eastern Ill.,71,UT Martin
9333,2017-01-19,Austin Peay,82,Morehead St.,89,Morehead St.
9334,2017-01-19,A&M-Corpus Chris,58,Stephen F. Austin,61,Stephen F. Austin
